n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,20,9,astar_manhattan,True,0.000316,4,4,10,2,4,3.000000,6,4,10
3,20,9,fast_downward_lmcut,True,0.007003,4,5,12,,,,,,
3,20,10,astar_manhattan,True,0.000466,6,7,14,2,4,2.714286,7,7,14
3,20,10,fast_downward_lmcut,True,0.009318,6,7,17,,,,,,
3,20,11,astar_manhattan,True,0.000253,4,4,10,2,4,3.000000,6,4,10
3,20,11,fast_downward_lmcut,True,0.006448,4,5,12,,,,,,
3,20,12,astar_manhattan,True,0.000443,8,12,24,2,4,2.833333,12,12,24
3,20,12,fast_downward_lmcut,True,0.008797,8,11,29,,,,,,
3,20,13,astar_manhattan,True,0.000692,6,7,15,2,4,2.857143,8,7,15
3,20,13,fast_downward_lmcut,True,0.012339,6,8,20,,,,,,
3,20,14,astar_manhattan,True,0.001893,10,31,57,2,4,2.838710,26,31,57
3,20,14,fast_downward_lmcut,True,0.011619,10,28,76,,,,,,
3,20,15,astar_manhattan,True,0.000353,4,4,10,2,4,3.000000,6,4,10
3,20,15,fast_downward_lmcut,True,0.015850,4,5,12,,,,,,
3,20,16,astar_manhattan,True,0.000983,12,27,50,2,4,2.777778,23,27,50
3,20,16,fast_downward_lmcut,True,0.010965,12,19,52,,,,,,
3,20,17,astar_manhattan,True,0.000386,6,6,13,2,4,2.833333,7,6,13
3,20,17,fast_downward_lmcut,True,0.007872,6,7,17,,,,,,
3,20,18,astar_manhattan,True,0.000457,10,19,37,2,4,2.842105,18,19,37
3,20,18,fast_downward_lmcut,True,0.009324,10,11,27,,,,,,
3,20,19,astar_manhattan,True,0.000291,8,9,19,2,4,2.888889,10,9,19
3,20,19,fast_downward_lmcut,True,0.010188,8,9,24,,,,,,
3,25,0,astar_manhattan,True,0.000438,11,17,31,2,4,2.705882,14,17,31
3,25,0,fast_downward_lmcut,True,0.012064,11,14,37,,,,,,
3,25,1,astar_manhattan,True,0.006080,19,127,211,2,4,2.692913,84,127,211
3,25,1,fast_downward_lmcut,True,0.030026,19,87,241,,,,,,
3,25,2,astar_manhattan,True,0.001372,9,21,40,2,4,2.809524,19,21,40
3,25,2,fast_downward_lmcut,True,0.010817,9,13,35,,,,,,
3,25,3,astar_manhattan,True,0.002005,11,33,59,2,4,2.939394,26,33,59
3,25,3,fast_downward_lmcut,True,0.016546,11,12,34,,,,,,
3,25,4,astar_manhattan,True,0.000757,9,12,22,2,4,2.666667,10,12,22
3,25,4,fast_downward_lmcut,True,0.013353,9,10,25,,,,,,
3,25,5,astar_manhattan,True,0.001845,9,21,39,2,4,2.761905,18,21,39
3,25,5,fast_downward_lmcut,True,0.010659,9,13,34,,,,,,
3,25,6,astar_manhattan,True,0.000855,7,14,26,2,4,2.857143,12,14,26
3,25,6,fast_downward_lmcut,True,0.011221,7,8,20,,,,,,
3,25,7,astar_manhattan,True,0.001951,7,9,20,2,4,3.000000,11,9,20
3,25,7,fast_downward_lmcut,True,0.010066,7,8,22,,,,,,
3,25,8,astar_manhattan,True,0.000425,5,5,10,2,3,2.600000,5,5,10
3,25,8,fast_downward_lmcut,True,0.008623,5,6,13,,,,,,
3,25,9,astar_manhattan,True,0.000568,5,5,12,2,4,3.000000,7,5,12
3,25,9,fast_downward_lmcut,True,0.008596,5,6,15,,,,,,
3,25,10,astar_manhattan,True,0.001104,7,14,26,2,4,2.857143,13,14,26
3,25,10,fast_downward_lmcut,True,0.010351,7,8,22,,,,,,
3,25,11,astar_manhattan,True,0.000348,7,7,15,2,4,2.857143,8,7,15
3,25,11,fast_downward_lmcut,True,0.008977,7,8,20,,,,,,
3,25,12,astar_manhattan,True,0.000273,7,7,15,2,4,2.857143,8,7,15
3,25,12,fast_downward_lmcut,True,0.011836,7,8,20,,,,,,
3,25,13,astar_manhattan,True,0.001274,9,16,31,2,4,2.812500,15,16,31
3,25,13,fast_downward_lmcut,True,0.012357,9,10,25,,,,,,
3,25,14,astar_manhattan,True,0.001222,9,19,36,2,4,2.894737,18,19,36
3,25,14,fast_downward_lmcut,True,0.011961,9,10,27,,,,,,
3,25,15,astar_manhattan,True,0.000226,3,3,9,3,4,3.333333,6,3,9
3,25,15,fast_downward_lmcut,True,0.011792,3,4,10,,,,,,
